date,value,target
30.12.2021 09:00,46856.84,0
30.12.2021 08:45,46897.99,0
30.12.2021 08:30,46947.11,0
30.12.2021 08:15,47000.68,0
30.12.2021 08:00,47063.34,1
30.12.2021 07:45,47000.01,1
30.12.2021 07:30,46994.01,1
30.12.2021 07:15,46948.00,1
30.12.2021 07:00,46848.01,0
30.12.2021 06:45,46887.39,1
30.12.2021 06:30,46769.87,1
30.12.2021 06:15,46726.26,0
30.12.2021 06:00,46753.01,1
30.12.2021 05:45,46700.85,1
30.12.2021 05:30,46602.45,0
30.12.2021 05:15,46723.66,1
30.12.2021 05:00,46665.19,0
30.12.2021 04:45,46736.94,0
30.12.2021 04:30,46833.09,0
30.12.2021 04:15,46858.14,1
30.12.2021 04:00,46515.26,0
30.12.2021 03:45,46638.61,1
30.12.2021 03:30,46556.36,0
30.12.2021 03:15,46600.98,0
30.12.2021 03:00,46624.80,1
30.12.2021 02:45,46566.99,1
30.12.2021 02:30,46457.86,1
30.12.2021 02:15,46300.01,0
30.12.2021 02:00,46560.34,0
30.12.2021 01:45,46600.49,1
30.12.2021 01:30,46569.53,0
30.12.2021 01:15,46673.92,1
30.12.2021 01:00,46591.57,0
30.12.2021 00:45,46670.00,1
30.12.2021 00:30,46585.62,1
30.12.2021 00:15,46175.56,0
30.12.2021 00:00,46506.20,1
29.12.2021 23:45,46136.35,0
29.12.2021 23:30,46351.71,0
29.12.2021 23:15,47115.48,0
29.12.2021 23:00,47333.00,0
29.12.2021 22:45,47353.03,1
29.12.2021 22:30,47325.04,1
29.12.2021 22:15,47196.31,1
29.12.2021 22:00,47177.08,1
29.12.2021 21:45,47173.89,0
29.12.2021 21:30,47261.77,1
29.12.2021 21:15,47210.38,0
29.12.2021 21:00,47382.22,0
29.12.2021 20:45,47483.82,0
29.12.2021 20:30,47523.99,1
29.12.2021 20:15,47274.58,1
29.12.2021 20:00,47062.91,0
29.12.2021 19:45,47111.37,0
29.12.2021 19:30,47423.04,1
