date,value,target
30.06.2022 23:45,19115.60,1
30.06.2022 23:30,19079.00,1
30.06.2022 23:15,18954.50,1
30.06.2022 23:00,18890.70,1
30.06.2022 22:45,18884.10,1
30.06.2022 22:30,18868.60,1
30.06.2022 22:15,18765.00,0
30.06.2022 22:00,18822.80,0
30.06.2022 21:45,18873.80,1
30.06.2022 21:30,18861.30,0
30.06.2022 21:15,18908.40,1
30.06.2022 21:00,18755.50,0
30.06.2022 20:45,18837.30,0
30.06.2022 20:30,19008.10,1
30.06.2022 20:15,18987.50,1
30.06.2022 20:00,18929.10,1
30.06.2022 19:45,18926.70,0
30.06.2022 19:30,18969.80,1
30.06.2022 19:15,18919.60,0
30.06.2022 19:00,18957.20,0
30.06.2022 18:45,18999.00,0
30.06.2022 18:30,19054.00,0
30.06.2022 18:15,19087.30,0
30.06.2022 18:00,19107.90,0
30.06.2022 17:45,19115.00,1
30.06.2022 17:30,19098.20,1
30.06.2022 17:15,19087.90,0
30.06.2022 17:00,19127.00,0
30.06.2022 16:45,19152.60,0
30.06.2022 16:30,19197.90,1
30.06.2022 16:15,19108.40,0
30.06.2022 16:00,19139.90,0
30.06.2022 15:45,19170.00,0
30.06.2022 15:30,19214.40,1
30.06.2022 15:15,19139.60,1
30.06.2022 15:00,19095.90,1
30.06.2022 14:45,19033.20,1
30.06.2022 14:30,18946.50,0
30.06.2022 14:15,18953.80,1
30.06.2022 14:00,18881.50,1
30.06.2022 13:45,18858.50,0
30.06.2022 13:30,19196.70,1
30.06.2022 13:15,19163.10,0
30.06.2022 13:00,19207.80,0
30.06.2022 12:45,19282.90,1
30.06.2022 12:30,19197.20,1
30.06.2022 12:15,19054.50,0
30.06.2022 12:00,19109.90,1
30.06.2022 11:45,19017.60,0
30.06.2022 11:30,19096.80,1
30.06.2022 11:15,19062.50,0
30.06.2022 11:00,19069.90,1
30.06.2022 10:45,19052.80,0
30.06.2022 10:30,19084.50,0
30.06.2022 10:15,19126.00,1
30.06.2022 10:00,19123.60,1
30.06.2022 09:45,19012.10,1
30.06.2022 09:30,18984.10,0
30.06.2022 09:15,19087.80,0
30.06.2022 09:00,19235.30,0
30.06.2022 08:45,19288.20,0
30.06.2022 08:30,19296.30,0
30.06.2022 08:15,19338.80,0
30.06.2022 08:00,19422.70,1
30.06.2022 07:45,19379.10,0
30.06.2022 07:30,19410.10,1
30.06.2022 07:15,19380.90,0
30.06.2022 07:00,19430.20,0
30.06.2022 06:45,19485.60,0
30.06.2022 06:30,19552.00,0
30.06.2022 06:15,19970.00,0
30.06.2022 06:00,20009.30,1
30.06.2022 05:45,20002.80,0
30.06.2022 05:30,20020.00,1
30.06.2022 05:15,19990.20,0
30.06.2022 05:00,20051.90,0
30.06.2022 04:45,20072.60,1
30.06.2022 04:30,20059.80,1
30.06.2022 04:15,20041.00,0
30.06.2022 04:00,20070.40,1
30.06.2022 03:45,20060.50,0
30.06.2022 03:30,20081.40,1
30.06.2022 03:15,20052.50,0
30.06.2022 03:00,20084.40,1
30.06.2022 02:45,20073.20,0
30.06.2022 02:30,20078.30,1
30.06.2022 02:15,20046.60,1
30.06.2022 02:00,20008.80,0
30.06.2022 01:45,20040.00,1
30.06.2022 01:30,20006.70,0
30.06.2022 01:15,20059.80,1
30.06.2022 01:00,20021.60,0
30.06.2022 00:45,20058.20,0
30.06.2022 00:30,20091.90,0
30.06.2022 00:15,20109.00,1
30.06.2022 00:00,20107.50,1
29.06.2022 23:45,20083.70,1
29.06.2022 23:30,20079.20,0
29.06.2022 23:15,20101.40,0
29.06.2022 23:00,20204.70,1
29.06.2022 22:45,20182.00,1
29.06.2022 22:30,20174.00,0
29.06.2022 22:15,20305.00,1
29.06.2022 22:00,20276.40,0
29.06.2022 21:45,20320.50,1
29.06.2022 21:30,20301.40,1
29.06.2022 21:15,20251.60,1
29.06.2022 21:00,20214.90,1
29.06.2022 20:45,20152.80,0
29.06.2022 20:30,20252.00,0
29.06.2022 20:15,20310.30,1
29.06.2022 20:00,20300.00,1
29.06.2022 19:45,20124.40,0
29.06.2022 19:30,20140.20,1
29.06.2022 19:15,20088.10,1
29.06.2022 19:00,20056.20,1
29.06.2022 18:45,20041.60,0
29.06.2022 18:30,20071.60,0
29.06.2022 18:15,20102.30,1
29.06.2022 18:00,20071.30,1
29.06.2022 17:45,20006.60,1
29.06.2022 17:30,19995.90,1
29.06.2022 17:15,19950.20,0
29.06.2022 17:00,20015.10,0
29.06.2022 16:45,20015.20,1
